"species","crown_h","crown_s","crown_v","crown_colors","throat_h","throat_s","throat_v","throat_colors","breast_h","breast_s","breast_v","breast_colors","wing_h","wing_s","wing_v","wing_colors","Back_h","Back_s","Back_v","Back_colors","Belly_h","Belly_s","Belly_v","Belly_colors","Crissum_h","Crissum_s","Crissum_v","Crissum_colors","DorTail_h","DorTail_s","DorTail_v","DorTail_colors","Rump_h","Rump_s","Rump_v","Rump_colors","Patch10_h","Patch10_s","Patch10_v","Patch10_colors","Patch11_h","Patch11_s","Patch11_v","Patch11_colors","Patch12_h","Patch12_s","Patch12_v","Patch12_colors","Patch13_h","Patch13_s","Patch13_v","Patch13_colors","Patch14_h","Patch14_s","Patch14_v","Patch14_colors","Patch15_h","Patch15_s","Patch15_v","Patch15_colors","Patch16_h","Patch16_s","Patch16_v","Patch16_colors"
"AcaBai","0.0634920634920635","0.253012048192771","0.325490196078431","grey","0.0533333333333333","0.213675213675214","0.458823529411765","brown","0.0555555555555556","0.226415094339623","0.415686274509804","brown","0.0572916666666666","0.30188679245283","0.415686274509804","brown","0.0555555555555556","0.233333333333333","0.352941176470588","grey","0.0656565656565656","0.2578125","0.501960784313725","brown","0.0694444444444445","0.297520661157025","0.474509803921569","brown","0.0555555555555556","0.267326732673267","0.396078431372549","brown","0.0576923076923077","0.257425742574257","0.396078431372549","grey","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AniIgn","0.0251572327044025","0.5","0.415686274509804","brown","0.0555555555555556","0.176470588235294","0.266666666666667","black","0.0425287356321839","0.779569892473118","0.729411764705882","red","0.0476190476190476","0.175","0.313725490196078","grey","0.0416666666666667","0.155844155844156","0.301960784313725","black","0.0421940928270042","0.782178217821782","0.792156862745098","red","0.0390625","0.744186046511628","0.674509803921569","red","0.0347222222222222","0.279069767441861","0.337254901960784","brown","0.616071428571428","0.343558282208589","0.63921568627451","blue","0.630555555555556","0.352941176470588","0.666666666666667","blue","0.0340909090909091","0.776470588235294","0.666666666666667","red","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AniLac","0.708333333333333","0.0842105263157895","0.372549019607843","grey","0.0928571428571429","0.760869565217391","0.72156862745098","brown","0.0967365967365967","0.777173913043478","0.72156862745098","brown","0.0263157894736841","0.204301075268817","0.364705882352941","grey","0.0416666666666667","0.155339805825243","0.403921568627451","grey","0.100574712643678","0.836538461538462","0.815686274509804","orange","0.109869646182495","0.890547263681592","0.788235294117647","orange","0.0333333333333333","0.21505376344086","0.364705882352941","grey","0.652777777777778","0.28125","0.501960784313725","blue","0.0757575757575757","0.111111111111111","0.388235294117647","grey","0.8","0.0588235294117647","0.333333333333333","grey","0.666666666666667","0.265151515151515","0.517647058823529","blue","0.101307189542484","0.593023255813953","0.674509803921569","brown","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AniMel","0.652173913043478","0.221153846153846","0.407843137254902","grey","0.117647058823529","1","0.866666666666667","yellow","0.115097159940209","1","0.874509803921569","yellow","0.0454545454545454","0.22680412371134","0.380392156862745","grey","0.111111111111111","0.102272727272727","0.345098039215686","grey","0.116666666666667","1","0.901960784313726","yellow","0.116113744075829","1","0.827450980392157","orange","0.0555555555555556","0.278350515463917","0.380392156862745","brown","0.458333333333333","0.0449438202247191","0.349019607843137","grey","0.0999999999999999","0.157894736842105","0.372549019607843","grey","0.0576923076923077","0.279569892473118","0.364705882352941","brown","0.0952380952380953","0.150537634408602","0.364705882352941","grey","0.0958904109589041","0.548872180451128","0.52156862745098","brown","0.0416666666666667","0.262295081967213","0.23921568627451","black","NA","NA","NA","NA","NA","NA","NA","NA"
"AniNot","0.105208333333333","0.860215053763441","0.729411764705882","brown","0.0833333333333333","0.315789473684211","0.223529411764706","black","0.104166666666667","1","0.87843137254902","yellow","0.0438596491228071","0.215909090909091","0.345098039215686","grey","0.0980392156862745","0.492753623188406","0.541176470588235","brown","0.107594936708861","1","0.929411764705882","yellow","0.105691056910569","1","0.803921568627451","orange","0.0490196078431372","0.2125","0.313725490196078","grey","0.0972222222222222","0.528301886792453","0.623529411764706","brown","0.682389937106918","0.321212121212121","0.647058823529412","blue","0.0784313725490196","0.295652173913044","0.450980392156863","brown","0.0666666666666667","0.230769230769231","0.254901960784314","black","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AniSom","0.111111111111111","0.754385964912281","0.670588235294118","brown","0.124183006535948","1","1","yellow","0.116993464052288","1","1","yellow","0.125","0.0579710144927536","0.270588235294118","black","0.53968253968254","0.477272727272727","0.172549019607843","black","0.119607843137255","1","1","yellow","0.130718954248366","1","1","yellow","0.0448717948717949","0.279569892473118","0.364705882352941","brown","0.125","0.131147540983607","0.23921568627451","black","0.45","0.215827338129496","0.545098039215686","green","0.0894308943089431","0.271523178807947","0.592156862745098","brown","0.645161290322581","0.424657534246575","0.572549019607843","blue","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BanArc","0.742424242424242","0.115789473684211","0.372549019607843","grey","0.0350877192982456","0.197916666666667","0.376470588235294","grey","0.114814814814815","1","0.882352941176471","yellow","0.0466666666666667","0.245098039215686","0.4","grey","0.907407407407407","0.108433734939759","0.325490196078431","grey","0.115315315315315","0.793991416309013","0.913725490196078","yellow","0.113425925925926","0.688995215311005","0.819607843137255","orange","0","0.125","0.376470588235294","grey","0.907407407407407","0.102272727272727","0.345098039215686","grey","0.8125","0.0888888888888889","0.352941176470588","grey","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BanAur","0.0555555555555556","0.295774647887324","0.27843137254902","black","0.0666666666666667","0.273972602739726","0.286274509803922","black","0.101063829787234","0.886792452830189","0.831372549019608","orange","0.0476190476190476","0.256880733944954","0.427450980392157","brown","0.125925925925926","0.478723404255319","0.368627450980392","brown","0.106995884773663","0.6","0.529411764705882","brown","0.112244897959184","0.636363636363636","0.603921568627451","brown","0.0808080808080808","0.33","0.392156862745098","brown","0.124183006535948","0.525773195876289","0.380392156862745","brown","0.166666666666667","0.166666666666667","0.352941176470588","grey","0.119477911646586","0.821782178217822","0.792156862745098","orange","0.11986301369863","0.733668341708543","0.780392156862745","orange","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BanEdw","0.0520833333333334","0.235294117647059","0.266666666666667","black","0.0757575757575758","0.289473684210526","0.298039215686275","black","0.107709750566893","0.790322580645161","0.729411764705882","brown","0.0454545454545454","0.239130434782609","0.36078431372549","grey","0.107142857142857","0.307692307692308","0.356862745098039","brown","0.111111111111111","0.572519083969466","0.513725490196078","brown","0.11038961038961","0.596899224806202","0.505882352941176","brown","0.0773809523809524","0.32183908045977","0.341176470588235","brown","0.125","0.478260869565217","0.36078431372549","brown","0.1","0.168539325842697","0.349019607843137","grey","0.159420289855072","0.261363636363636","0.345098039215686","green","0.666666666666667","0.192982456140351","0.447058823529412","grey","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BanMel","0.0648148148148148","0.272727272727273","0.258823529411765","black","0.0583333333333334","0.277777777777778","0.282352941176471","black","0.0982142857142857","0.903225806451613","0.729411764705882","brown","0.0535714285714285","0.291666666666667","0.376470588235294","brown","0.0588235294117647","0.236111111111111","0.282352941176471","black","0.114583333333333","0.792079207920792","0.792156862745098","orange","0.116306954436451","0.723958333333333","0.752941176470588","brown","0.0512820512820513","0.292134831460674","0.349019607843137","brown","0.533333333333334","0.058139534883721","0.337254901960784","grey","0.515873015873016","0.189189189189189","0.435294117647059","grey","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
