"species","black","white","grey","brown","red","orange","yellow","green","blue","purple","k"
"AcaBai",0,0,1,1,0,0,0,0,0,0,2
"AniIgn",1,0,1,1,1,0,0,0,1,0,5
"AniLac",0,0,1,1,0,1,0,0,1,0,4
"AniMel",1,0,1,1,0,1,1,0,0,0,5
"AniNot",1,0,1,1,0,1,1,0,1,0,6
"AniSom",1,0,0,1,0,0,1,1,1,0,5
"BanArc",0,0,1,0,0,1,1,0,0,0,3
"BanAur",1,0,1,1,0,1,0,0,0,0,4
"BanEdw",1,0,1,1,0,0,0,1,0,0,4
"BanMel",1,0,1,1,0,1,0,0,0,0,4
"BanRot",1,0,1,1,0,1,0,0,0,0,4
"ButAur",1,0,1,1,0,0,0,0,1,0,4
"ButExi",1,0,1,1,0,1,0,1,1,0,6
"ButMon",1,0,1,0,0,1,0,0,1,0,4
"ButWet",1,0,1,1,0,1,0,0,1,0,5
"CalCoc",1,0,0,0,1,0,0,0,0,0,2
"CamHel",0,0,0,1,0,0,0,0,0,0,1
"CamPal",0,0,0,1,0,1,0,0,0,0,2
"CamPar",0,0,1,1,0,1,0,0,0,0,3
"CamPau",0,0,0,1,0,0,0,0,0,0,1
"CamPsi",1,0,1,1,0,0,0,0,0,0,3
"CatAna",1,0,1,1,0,1,0,0,0,0,4
"CatDia",0,0,1,1,0,0,0,0,0,0,2
"CatHom",1,0,1,1,0,0,0,0,0,0,3
"CatIno",0,0,0,1,0,0,0,0,0,0,1
"CerOli",0,0,0,1,0,0,0,0,0,0,1
"ChaEuc",1,0,1,1,0,1,0,0,0,0,4
"ChlCal",0,0,1,1,0,0,0,1,1,0,4
"ChlNit",1,0,1,1,0,0,0,1,1,0,5
"ChlPho",0,0,1,1,0,0,0,1,0,0,3
"ChlRie",0,0,1,1,0,0,0,1,0,0,3
"ChlSpi",1,0,1,0,0,0,0,1,0,0,3
"ChrChr",1,0,0,0,0,0,1,0,0,0,2
"ChrSal",0,0,1,1,1,0,0,0,0,0,3
"CisLev",1,1,1,0,0,1,0,0,0,0,4
"CneRub",0,0,1,1,0,1,1,0,0,0,4
"CoeFla",0,0,1,1,0,1,0,0,0,0,3
"ComBae",0,0,1,1,0,0,0,0,0,0,2
"ComGar",0,0,1,1,0,0,0,0,0,0,2
"ComLor",1,0,1,0,1,0,0,0,0,0,3
"ConAlb",1,0,1,0,0,0,0,0,1,0,3
"ConBic",0,0,1,1,0,1,0,0,0,0,3
"ConCin",0,0,1,1,0,1,0,0,0,0,3
"ConFer",0,0,1,1,0,1,0,0,0,0,3
"ConLeu",1,0,1,1,0,0,0,0,0,0,3
"ConMar",0,0,1,1,0,1,0,0,0,0,3
"ConRuf",0,0,1,1,0,0,0,0,0,0,2
"ConSit",1,0,1,1,0,0,0,0,0,0,3
"ConSpa",1,0,1,1,0,1,0,0,0,0,4
"ConSpm",0,0,1,1,0,1,0,0,0,0,3
"ConTam",0,0,0,1,0,0,0,0,0,0,1
"CorCuc",0,0,0,1,1,0,0,0,0,0,2
"CorMel",0,0,1,1,0,1,0,0,0,0,3
"CorPil",0,0,1,1,1,1,0,0,0,0,4
"CreDen",1,0,1,1,0,0,0,0,0,0,3
"CreVer",0,0,1,1,0,0,0,0,0,0,2
"CyaCae",1,0,1,0,0,0,0,0,1,0,3
"CyaCys",1,1,1,0,0,1,0,0,1,0,5
"CyaLuc",1,0,1,1,0,0,0,0,1,0,4
"CyaNit",1,0,1,0,0,0,0,0,1,0,3
"CyiCyi",0,0,1,0,0,0,1,0,1,0,3
"CypHir",1,1,1,0,0,1,0,0,0,0,4
"DacAlb",1,1,1,0,0,1,0,0,1,0,5
"DacBer",0,0,1,1,1,0,0,0,1,0,4
"DacCay",1,0,1,0,0,0,0,1,0,0,3
"DacFla",0,0,1,1,0,1,0,0,0,0,3
"DacLin",1,1,1,0,0,0,0,1,0,0,4
"DacNig",1,0,1,0,0,0,0,1,0,0,3
"DacVen",0,0,1,1,1,0,0,1,0,0,4
"DacVig",1,0,1,0,0,0,0,1,0,0,3
"DelCas",1,0,1,1,0,0,0,0,1,0,4
"DigAlb",0,1,1,0,0,0,0,0,0,0,2
"DigBar",1,0,1,1,0,0,0,0,0,0,3
"DigBru",1,0,1,1,0,0,0,0,0,0,3
"DigCae",0,0,1,0,0,0,0,0,0,0,1
"DigCar",1,0,1,1,0,0,0,0,0,0,3
"DigCya",1,0,1,0,0,0,0,0,1,0,3
"DigDui",1,0,1,0,0,0,0,0,0,0,2
"DigGla",1,0,1,0,0,0,0,0,1,0,3
"DigGlo",1,0,1,1,0,0,0,0,0,0,3
"DigGls",1,0,1,1,0,0,0,0,0,0,3
"DigHum",1,0,1,0,0,0,0,0,0,0,2
"DigInd",1,0,1,1,0,0,0,0,0,0,3
"DigLaf",1,0,1,0,0,0,0,0,0,0,2
"DigMaj",0,0,1,1,0,0,0,0,0,0,2
"DigMys",1,0,1,1,0,1,0,0,0,0,4
"DigPlu",0,0,1,0,0,0,0,0,0,0,1
"DigSit",0,0,1,1,0,0,0,0,0,0,2
"DigVen",1,0,1,0,0,0,0,0,0,0,2
"DiuDiu",0,0,1,1,0,1,0,0,0,0,3
"DiuSpe",0,0,1,1,0,1,0,0,0,0,3
"DolFri",1,0,1,1,0,0,0,0,0,0,3
"DonAlb",0,0,0,1,0,1,0,0,0,0,2
"DubTae",1,0,1,1,0,1,0,0,1,0,5
"EmbDui",0,0,0,1,0,1,0,0,0,0,2
"EmbHer",0,0,0,1,0,1,0,0,0,0,2
"EmbLon",0,0,0,1,0,1,0,0,0,0,2
"EmbPla",0,0,1,1,0,1,0,0,0,0,3
"EmbYpi",0,0,1,1,0,0,0,0,0,0,2
"EucPen",0,0,0,1,0,1,0,0,0,0,2
"EunCam",0,0,1,1,0,0,0,0,0,0,2
"GeoCon",1,0,1,1,0,0,0,0,0,0,3
"GeoDif",1,0,1,1,0,0,0,0,0,0,3
"GeoFor",0,0,1,1,0,0,0,0,0,0,2
"GeoFul",1,0,1,1,0,0,0,0,0,0,3
"GeoMag",1,0,1,1,0,0,0,0,0,0,3
"GeoSca",1,0,1,1,0,0,0,0,0,0,3
"GubCri",0,0,1,1,0,1,1,0,0,0,4
"HapRus",0,0,1,0,0,0,0,0,0,0,1
"HapUni",0,0,1,1,0,0,0,0,0,0,2
"HemAtr",1,0,0,1,0,0,0,0,0,0,2
"HemCal",0,0,0,1,0,0,0,0,0,0,1
"HemFla",1,0,1,1,0,1,1,0,0,0,5
"HemFro",0,0,0,1,0,0,0,0,0,0,1
"HemGoe",0,0,1,1,0,0,0,0,0,0,2
"HemGui",0,0,0,1,0,1,0,0,0,0,2
"HemMel",0,0,1,1,0,0,0,0,0,0,2
"HemPar",0,0,0,1,0,0,0,0,0,0,1
"HemPiu",1,0,0,1,0,0,0,0,0,0,2
"HemRey",0,0,0,1,0,0,0,0,0,0,1
"HemRuc",0,0,0,1,0,1,0,0,0,0,2
"HemRus",1,0,1,1,0,0,0,0,0,0,3
"HemSup",0,0,0,1,0,1,0,0,0,0,2
